time (s),Avg Current (A),Min Current (A),Max Current (A),Avg Power (W),Min Power (W),Max Power (W)
0.002300, 0.007651766404741378, 0.00792801287, 0.00541677233, 0.022902629418103452, 0.0237210561, 0.01621788
0.002320, 0.007638885862307691, 0.00792137906, 0.00541577581, 0.02288716692307692, 0.0237272698, 0.0162324756
0.002320, 0.007635832592991452, 0.00791112892, 0.00540685188, 0.022887414847008545, 0.0237090159, 0.0162121076
0.002320, 0.007636281725470084, 0.00792988855, 0.0053926562, 0.022895374295726495, 0.0237695184, 0.01617397
0.002300, 0.007649535461637929, 0.00793903321, 0.00540883606, 0.022939695719827582, 0.0238019004, 0.0162261054
0.002320, 0.007640170706239317, 0.00793266576, 0.00541019766, 0.022911519211965808, 0.0237803683, 0.0162286907
0.002320, 0.007628830933589744, 0.00792886969, 0.00539754005, 0.022878058728205128, 0.0237703435, 0.0161936767
0.002300, 0.007653618187155172, 0.00792735908, 0.00540627912, 0.022954051219827586, 0.0237663034, 0.016217215
0.002320, 0.007647449071025641, 0.00793334749, 0.00541544193, 0.022934475229059826, 0.0237848815, 0.0162461083
0.002320, 0.007641792145982907, 0.00792748481, 0.00540585956, 0.022919778976068377, 0.0237690657, 0.0162185822
