time (s),Avg Current (A),Min Current (A),Max Current (A),Avg Power (W),Min Power (W),Max Power (W)
0.598820, 0.005207497900773496, 0.00555622531, 0.00498201745, 0.015622677428732214, 0.0166634731, 0.0149476752
0.598700, 0.005207835228886291, 0.00554291811, 0.0049870545, 0.015623961080374801, 0.0166230332, 0.0149636595
0.598920, 0.0052064119153985376, 0.00554192625, 0.00497876154, 0.015618925276391625, 0.0166167803, 0.0149375657
0.598780, 0.005206393695169339, 0.00555049861, 0.00497823395, 0.01561929981408484, 0.0166456141, 0.0149373785
0.598800, 0.0052063603057479705, 0.00555426395, 0.00497917179, 0.01561873754352226, 0.0166579522, 0.0149388304
0.598880, 0.0052052799851587915, 0.00554352254, 0.00497222738, 0.015616110477645684, 0.0166226085, 0.0149190659
0.598940, 0.005205263895141245, 0.00554920407, 0.00497595221, 0.01561618085536263, 0.0166409723, 0.0149294771
0.598980, 0.005205391466495826, 0.00556033337, 0.00497583067, 0.015616445749893154, 0.0166752618, 0.0149297249
0.598780, 0.005205807237319639, 0.00555499876, 0.00498251338, 0.015617060131182364, 0.0166583881, 0.0149479359
0.598780, 0.005205968982416834, 0.00554315699, 0.00498853344, 0.015618121942371409, 0.0166248493, 0.0149687259
