time (s),Avg Current (A),Min Current (A),Max Current (A),Avg Power (W),Min Power (W),Max Power (W)
0.001820, 0.012250905236304349, 0.0130225345, 0.00583604677, 0.036718636889130435, 0.0389888212, 0.0175050907
0.001820, 0.01223176630630435, 0.0130518051, 0.00579383876, 0.03665821237608696, 0.0390868485, 0.0173781514
0.001820, 0.012256440146847824, 0.0130498251, 0.00584811857, 0.03671384370326087, 0.0390583463, 0.0175306574
0.001820, 0.012265602651630436, 0.0130359009, 0.00591828022, 0.0367581666173913, 0.0390362404, 0.0177488737
0.001820, 0.012243497927065219, 0.0130319819, 0.00582797034, 0.03668703835326087, 0.0390194245, 0.0174775366
0.001820, 0.012244612723695652, 0.0130399773, 0.00581278745, 0.03670306767391304, 0.0390544683, 0.0174365174
0.001820, 0.012239327496847825, 0.0130450232, 0.00579997618, 0.03668371909891305, 0.0390659235, 0.017398743
0.001800, 0.01227804399010989, 0.0130381463, 0.00593476184, 0.03680098527472527, 0.0390517972, 0.017799966
0.001820, 0.012222959430869566, 0.0130490409, 0.00579747325, 0.03663317019021739, 0.0390819721, 0.0173905399
0.001820, 0.012212742940108693, 0.0130389761, 0.0058012791, 0.03656881667717391, 0.0390164629, 0.0173857454
